pairKey,cityId,speciesId,evidenceGrade,idealPeakDate,idealPeakMode,researchedFisheryStrength,v3IdealPeakScore,regulatedUnavailableDays
"grand_haven_mi/channel_catfish","grand_haven_mi","channel_catfish","A","2027-08-10","warm_season_channel",5.8,5.8,0
"grand_haven_mi/largemouth_bass","grand_haven_mi","largemouth_bass","A","2027-06-25","warm_season_harbor_cover",6.2,6.2,0
"manistee_mi/lake_trout","manistee_mi","lake_trout","B","2027-01-20","cold_season_nearshore",4,4,0
"manistee_mi/walleye","manistee_mi","walleye","B","2027-05-10","spring_low_light",4.2,4.2,0
"manistee_mi/smallmouth_bass","manistee_mi","smallmouth_bass","B","2027-06-25","warm_season_harbor",5,5,0
"manistee_mi/freshwater_drum","manistee_mi","freshwater_drum","B","2027-07-15","warm_season_bottom_fishery",4.7,4.7,0
"manistee_mi/yellow_perch","manistee_mi","yellow_perch","A","2027-05-05","spring_nearshore_schooling",7.2,7.2,0
"manistee_mi/round_whitefish","manistee_mi","round_whitefish","B","2027-11-15","fall_menominee",4.1,4.1,0
"frankfort_elberta_mi/lake_trout","frankfort_elberta_mi","lake_trout","B","2027-01-20","cold_season_nearshore",4,4,0
"racine_wi/yellow_perch","racine_wi","yellow_perch","B","2027-07-20","summer_harbor_schooling",4.8,4.8,46
"kenosha_wi/yellow_perch","kenosha_wi","yellow_perch","B","2027-07-20","summer_harbor_schooling",5.4,5.4,46
