date,pairKey,legalStatus,winningMode,seasonalPotential,scoreThermalFit0,scoreThermalFitHalf,scoreThermalFit1
2027-04-25,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.89,1.267,1.579,1.89
2027-04-26,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.927,1.278,1.603,1.927
2027-04-27,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.964,1.289,1.627,1.964
2027-04-28,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.001,1.3,1.651,2.001
2027-04-29,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.038,1.311,1.675,2.038
2027-04-30,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.075,1.323,1.699,2.075
2027-05-01,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.112,1.334,1.723,2.112
2027-05-02,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.149,1.345,1.747,2.149
2027-05-03,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.186,1.356,1.771,2.186
2027-05-04,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.223,1.367,1.795,2.223
2027-05-05,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.26,1.378,1.819,2.26
2027-05-06,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.297,1.389,1.843,2.297
2027-05-07,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.334,1.4,1.867,2.334
2027-05-08,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.371,1.411,1.891,2.371
2027-05-09,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.408,1.422,1.915,2.408
2027-05-10,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.445,1.433,1.939,2.445
2027-05-11,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.482,1.445,1.963,2.482
2027-05-12,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.519,1.456,1.987,2.519
2027-05-13,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.556,1.467,2.011,2.556
2027-05-14,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.593,1.478,2.035,2.593
2027-05-15,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.63,1.489,2.059,2.63
2027-05-16,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.667,1.5,2.083,2.667
2027-05-17,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.704,1.511,2.107,2.704
2027-05-18,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.74,1.522,2.131,2.74
2027-05-19,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.777,1.533,2.155,2.777
2027-05-20,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.814,1.544,2.179,2.814
2027-05-21,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.848,1.554,2.201,2.848
2027-05-22,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.882,1.564,2.223,2.882
2027-05-23,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.915,1.575,2.245,2.915
2027-05-24,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.949,1.585,2.267,2.949
2027-05-25,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.982,1.595,2.289,2.982
2027-05-26,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.016,1.605,2.31,3.016
2027-05-27,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.05,1.615,2.332,3.05
2027-05-28,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.083,1.625,2.354,3.083
2027-05-29,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.117,1.635,2.376,3.117
2027-05-30,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.15,1.645,2.398,3.15
2027-05-31,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.184,1.655,2.42,3.184
2027-06-01,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.218,1.665,2.441,3.218
2027-06-02,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.251,1.675,2.463,3.251
2027-06-03,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.285,1.685,2.485,3.285
2027-06-04,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.318,1.696,2.507,3.318
2027-06-05,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.352,1.706,2.529,3.352
2027-06-06,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.386,1.716,2.551,3.386
2027-06-07,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.419,1.726,2.572,3.419
2027-06-08,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.453,1.736,2.594,3.453
2027-06-09,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.486,1.746,2.616,3.486
2027-06-10,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.52,1.756,2.638,3.52
2027-06-11,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.411,1.723,2.567,3.411
2027-06-12,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.302,1.69,2.496,3.302
2027-06-13,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.192,1.658,2.425,3.192
2027-06-14,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,3.083,1.625,2.354,3.083
2027-06-15,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.974,1.592,2.283,2.974
2027-06-16,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.865,1.559,2.212,2.865
2027-06-17,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.756,1.527,2.141,2.756
2027-06-18,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.646,1.494,2.07,2.646
2027-06-19,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.537,1.461,1.999,2.537
2027-06-20,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.428,1.428,1.928,2.428
2027-06-21,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.319,1.396,1.857,2.319
2027-06-22,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.21,1.363,1.786,2.21
2027-06-23,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,2.1,1.33,1.715,2.1
2027-06-24,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.991,1.297,1.644,1.991
2027-06-25,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.882,1.265,1.573,1.882
2027-06-26,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,1.895,1.269,1.582,1.895
2027-06-27,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.045,1.313,1.679,2.045
2027-06-28,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.194,1.358,1.776,2.194
2027-06-29,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.343,1.403,1.873,2.343
2027-06-30,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.492,1.448,1.97,2.492
2027-07-01,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.642,1.492,2.067,2.642
2027-07-02,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.791,1.537,2.164,2.791
2027-07-03,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,2.94,1.582,2.261,2.94
2027-07-04,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.089,1.627,2.358,3.089
2027-07-05,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.239,1.672,2.455,3.239
2027-07-06,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.388,1.716,2.552,3.388
2027-07-07,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.537,1.761,2.649,3.537
2027-07-08,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.686,1.806,2.746,3.686
2027-07-09,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.836,1.851,2.843,3.836
2027-07-10,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,3.985,1.895,2.94,3.985
2027-07-11,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.134,1.94,3.037,4.134
2027-07-12,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.283,1.985,3.134,4.283
2027-07-13,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.433,2.03,3.231,4.433
2027-07-14,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.582,2.075,3.328,4.582
2027-07-15,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.731,2.119,3.425,4.731
2027-07-16,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.807,2.142,3.475,4.807
2027-07-17,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.883,2.165,3.524,4.883
2027-07-18,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.959,2.188,3.574,4.959
2027-07-19,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.036,2.211,3.623,5.036
2027-07-20,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.112,2.234,3.673,5.112
2027-07-21,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.188,2.256,3.722,5.188
2027-07-22,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.264,2.279,3.772,5.264
2027-07-23,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.34,2.302,3.821,5.34
2027-07-24,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.416,2.325,3.871,5.416
2027-07-25,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.492,2.348,3.92,5.492
2027-07-26,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.569,2.371,3.97,5.569
2027-07-27,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.645,2.393,4.019,5.645
2027-07-28,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.721,2.416,4.069,5.721
2027-07-29,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.797,2.439,4.118,5.797
2027-07-30,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.873,2.462,4.168,5.873
2027-07-31,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.949,2.485,4.217,5.949
2027-08-01,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.025,2.508,4.267,6.025
2027-08-02,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.102,2.53,4.316,6.102
2027-08-03,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.178,2.553,4.366,6.178
2027-08-04,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.254,2.576,4.415,6.254
2027-08-05,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.33,2.599,4.465,6.33
2027-08-06,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.223,2.567,4.395,6.223
2027-08-07,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.117,2.535,4.326,6.117
2027-08-08,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,6.01,2.503,4.257,6.01
2027-08-09,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.904,2.471,4.187,5.904
2027-08-10,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.797,2.439,4.118,5.797
2027-08-11,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.69,2.407,4.049,5.69
2027-08-12,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.584,2.375,3.979,5.584
2027-08-13,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.477,2.343,3.91,5.477
2027-08-14,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.371,2.311,3.841,5.371
2027-08-15,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.264,2.279,3.772,5.264
2027-08-16,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.157,2.247,3.702,5.157
2027-08-17,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,5.051,2.215,3.633,5.051
2027-08-18,two_rivers_wi/chinook_salmon,open,summer_coldwater_pulse,4.944,2.183,3.564,4.944
2027-08-19,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,4.926,2.178,3.552,4.926
2027-08-20,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.13,2.239,3.684,5.13
2027-08-21,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.334,2.3,3.817,5.334
2027-08-22,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.539,2.362,3.95,5.539
2027-08-23,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.743,2.423,4.083,5.743
2027-08-24,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.947,2.484,4.216,5.947
2027-08-25,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.152,2.546,4.349,6.152
2027-08-26,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.356,2.607,4.482,6.356
2027-08-27,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.561,2.668,4.614,6.561
2027-08-28,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.765,2.729,4.747,6.765
2027-08-29,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.969,2.791,4.88,6.969
2027-08-30,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.174,2.852,5.013,7.174
2027-08-31,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.378,2.913,5.146,7.378
2027-09-01,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.582,2.975,5.279,7.582
2027-09-02,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.787,3.036,5.411,7.787
2027-09-03,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.991,3.097,5.544,7.991
2027-09-04,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,8.196,3.159,5.677,8.196
2027-09-05,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,8.4,3.22,5.81,8.4
2027-09-06,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,8.316,3.195,5.755,8.316
2027-09-07,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,8.232,3.17,5.701,8.232
2027-09-08,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,8.148,3.145,5.646,8.148
2027-09-09,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,8.065,3.119,5.592,8.065
2027-09-10,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.981,3.094,5.537,7.981
2027-09-11,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.897,3.069,5.483,7.897
2027-09-12,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.813,3.044,5.428,7.813
2027-09-13,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.729,3.019,5.374,7.729
2027-09-14,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.645,2.994,5.319,7.645
2027-09-15,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.561,2.968,5.265,7.561
2027-09-16,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.477,2.943,5.21,7.477
2027-09-17,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.394,2.918,5.156,7.394
2027-09-18,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.31,2.893,5.101,7.31
2027-09-19,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.226,2.868,5.047,7.226
2027-09-20,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,7.142,2.843,4.992,7.142
2027-09-21,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.902,2.77,4.836,6.902
2027-09-22,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.661,2.698,4.68,6.661
2027-09-23,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.42,2.626,4.523,6.42
2027-09-24,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,6.18,2.554,4.367,6.18
2027-09-25,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.939,2.482,4.211,5.939
2027-09-26,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.699,2.41,4.054,5.699
2027-09-27,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.459,2.338,3.898,5.459
2027-09-28,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,5.218,2.265,3.742,5.218
2027-09-29,two_rivers_wi/chinook_salmon,open,fall_harbor_staging,4.978,2.193,3.585,4.978
