speciesId,cityId,pairKey,status,evidenceGrade,peakScore,peakDate,goodDays,excellentDays
steelhead,milwaukee_wi,milwaukee_wi/steelhead,established,,5.8,2027-04-15,0,0
brown_trout,milwaukee_wi,milwaukee_wi/brown_trout,established,,7.4,2027-04-01,45,0
chinook_salmon,racine_wi,racine_wi/chinook_salmon,established,,8.1,2027-08-15,54,2
coho_salmon,racine_wi,racine_wi/coho_salmon,established,,8.5,2027-04-20,96,15
steelhead,racine_wi,racine_wi/steelhead,established,,7.7,2027-07-15,70,0
brown_trout,racine_wi,racine_wi/brown_trout,established,,7.3,2027-04-01,43,0
chinook_salmon,kenosha_wi,kenosha_wi/chinook_salmon,established,,7.4,2027-08-15,44,0
coho_salmon,kenosha_wi,kenosha_wi/coho_salmon,established,,8.6,2027-04-20,76,13
steelhead,kenosha_wi,kenosha_wi/steelhead,established,,5.6,2027-04-15,0,0
brown_trout,kenosha_wi,kenosha_wi/brown_trout,established,,6.4,2027-04-01,15,0
lake_trout,ludington_mi,ludington_mi/lake_trout,established,,3.8,2027-10-25,0,0
smallmouth_bass,ludington_mi,ludington_mi/smallmouth_bass,established,,5.8,2027-06-25,0,0
yellow_perch,ludington_mi,ludington_mi/yellow_perch,established,,7.6,2027-07-12,52,0
lake_trout,grand_haven_mi,grand_haven_mi/lake_trout,established,,3.6,2027-10-25,0,0
smallmouth_bass,grand_haven_mi,grand_haven_mi/smallmouth_bass,established,,7,2027-06-25,80,0
yellow_perch,grand_haven_mi,grand_haven_mi/yellow_perch,established,,7.2,2027-08-05,74,0
lake_trout,manistee_mi,manistee_mi/lake_trout,established,,4,2027-10-25,0,0
smallmouth_bass,manistee_mi,manistee_mi/smallmouth_bass,established,,5,2027-06-25,0,0
yellow_perch,manistee_mi,manistee_mi/yellow_perch,established,,7.2,2027-04-20,77,0
lake_trout,frankfort_elberta_mi,frankfort_elberta_mi/lake_trout,established,,4,2027-10-25,0,0
yellow_perch,racine_wi,racine_wi/yellow_perch,established,,4.8,2027-07-20,0,0
yellow_perch,kenosha_wi,kenosha_wi/yellow_perch,established,,5.4,2027-07-20,0,0
coho_salmon,harbor_beach_mi,harbor_beach_mi/coho_salmon,established,,5.8,2027-04-20,0,0
smallmouth_bass,harbor_beach_mi,harbor_beach_mi/smallmouth_bass,established,,4.9,2027-07-20,0,0
steelhead,oscoda_mi,oscoda_mi/steelhead,established,,7.4,2027-04-20,33,0
lake_trout,oscoda_mi,oscoda_mi/lake_trout,established,,4.6,2027-04-20,0,0
coho_salmon,oscoda_mi,oscoda_mi/coho_salmon,established,,6.5,2027-09-18,9,0
chinook_salmon,oscoda_mi,oscoda_mi/chinook_salmon,established,,5.5,2027-09-18,0,0
smallmouth_bass,oscoda_mi,oscoda_mi/smallmouth_bass,established,,4.5,2027-07-20,0,0
coho_salmon,port_sanilac_mi,port_sanilac_mi/coho_salmon,established,,6.4,2027-04-20,12,0
steelhead,port_sanilac_mi,port_sanilac_mi/steelhead,established,,4.5,2027-04-20,0,0
northern_pike,port_sanilac_mi,port_sanilac_mi/northern_pike,established,,5.1,2027-07-20,0,0
steelhead,harbor_beach_mi,harbor_beach_mi/steelhead,established,,5.6,2027-04-25,0,0
lake_trout,harbor_beach_mi,harbor_beach_mi/lake_trout,established,,5.3,2027-05-01,0,0
northern_pike,harbor_beach_mi,harbor_beach_mi/northern_pike,established,,4.6,2027-09-15,0,0
northern_pike,oscoda_mi,oscoda_mi/northern_pike,established,,5,2027-04-25,0,0
chinook_salmon,port_sanilac_mi,port_sanilac_mi/chinook_salmon,established,,5,2027-09-20,0,0
brown_trout,port_sanilac_mi,port_sanilac_mi/brown_trout,established,,4.8,2027-04-20,0,0
lake_trout,port_sanilac_mi,port_sanilac_mi/lake_trout,established,,5.5,2027-05-01,0,0
yellow_perch,port_sanilac_mi,port_sanilac_mi/yellow_perch,established,,5,2027-08-01,0,0
smallmouth_bass,port_sanilac_mi,port_sanilac_mi/smallmouth_bass,established,,5.4,2027-07-25,0,0
northern_pike,ludington_mi,ludington_mi/northern_pike,established,,5.2,2027-08-15,0,0
northern_pike,manistee_mi,manistee_mi/northern_pike,established,,5,2027-05-15,0,0
northern_pike,frankfort_elberta_mi,frankfort_elberta_mi/northern_pike,established,,4.5,2027-04-25,0,0
chinook_salmon,two_rivers_wi,two_rivers_wi/chinook_salmon,five_city_private,B,8.4,2027-09-05,22,6
coho_salmon,two_rivers_wi,two_rivers_wi/coho_salmon,five_city_private,B,7.1,2027-10-05,2,0
steelhead,two_rivers_wi,two_rivers_wi/steelhead,five_city_private,B,7.3,2027-10-25,7,0
brown_trout,two_rivers_wi,two_rivers_wi/brown_trout,five_city_private,B,7.2,2027-04-10,7,0
chinook_salmon,kewaunee_wi,kewaunee_wi/chinook_salmon,five_city_private,B,9.1,2027-09-05,27,16
coho_salmon,kewaunee_wi,kewaunee_wi/coho_salmon,five_city_private,B,6.8,2027-10-05,0,0
steelhead,kewaunee_wi,kewaunee_wi/steelhead,five_city_private,B,7.8,2027-10-25,31,0
brown_trout,kewaunee_wi,kewaunee_wi/brown_trout,five_city_private,B,7.4,2027-04-10,13,0
lake_trout,kewaunee_wi,kewaunee_wi/lake_trout,five_city_private,B,4.2,2027-10-25,0,0
chinook_salmon,algoma_wi,algoma_wi/chinook_salmon,five_city_private,B,9,2027-09-05,27,16
coho_salmon,algoma_wi,algoma_wi/coho_salmon,five_city_private,B,7,2027-10-05,1,0
steelhead,algoma_wi,algoma_wi/steelhead,five_city_private,B,7.7,2027-10-25,26,0
brown_trout,algoma_wi,algoma_wi/brown_trout,five_city_private,B,7.6,2027-04-10,19,0
chinook_salmon,manitowoc_wi,manitowoc_wi/chinook_salmon,five_city_private,B,8.5,2027-09-05,23,8
coho_salmon,manitowoc_wi,manitowoc_wi/coho_salmon,five_city_private,B,7.2,2027-10-05,4,0
steelhead,manitowoc_wi,manitowoc_wi/steelhead,five_city_private,B,7.2,2027-10-25,4,0
brown_trout,manitowoc_wi,manitowoc_wi/brown_trout,five_city_private,B,7.2,2027-04-10,7,0
smallmouth_bass,manitowoc_wi,manitowoc_wi/smallmouth_bass,five_city_private,B,5.8,2027-06-20,0,0
northern_pike,manitowoc_wi,manitowoc_wi/northern_pike,five_city_private,B,5.2,2027-09-20,0,0
chinook_salmon,waukegan_il,waukegan_il/chinook_salmon,five_city_private,B,7.6,2027-09-05,12,0
coho_salmon,waukegan_il,waukegan_il/coho_salmon,five_city_private,B,8.8,2027-04-20,41,18
steelhead,waukegan_il,waukegan_il/steelhead,five_city_private,B,6.8,2027-10-25,0,0
brown_trout,waukegan_il,waukegan_il/brown_trout,five_city_private,B,7,2027-11-20,1,0
yellow_perch,waukegan_il,waukegan_il/yellow_perch,five_city_private,B,5.4,2027-04-15,0,0
